epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,58.297,0.9136,1.45095,0.00551,0.94433,0.92602,0.96866,0.74679,0.84988,0.49773,0.00737,0.000662447,0.000662447,0.000662447
2,115.409,0.90108,0.56239,0.00558,0.92668,0.93071,0.96393,0.76295,0.8051,0.42668,0.00699,0.00131596,0.00131596,0.00131596
3,172.404,0.90242,0.50401,0.0055,0.93902,0.94033,0.96665,0.77486,0.74528,0.38684,0.00636,0.00195626,0.00195626,0.00195626
4,229.394,0.91968,0.48061,0.00568,0.94587,0.94661,0.96996,0.74604,0.84375,0.379,0.007,0.0019406,0.0019406,0.0019406
5,286.939,0.90688,0.45796,0.00551,0.939,0.96149,0.97778,0.78484,0.743,0.3578,0.00627,0.0019208,0.0019208,0.0019208
6,343.958,0.88231,0.42323,0.00534,0.95479,0.9526,0.98118,0.78032,0.77195,0.3178,0.00646,0.001901,0.001901,0.001901
7,400.883,0.86182,0.41493,0.00534,0.95042,0.95723,0.98023,0.77552,0.79445,0.33907,0.00674,0.0018812,0.0018812,0.0018812
8,457.705,0.84479,0.39399,0.00513,0.94993,0.96348,0.98209,0.79869,0.73269,0.31031,0.00615,0.0018614,0.0018614,0.0018614
9,514.771,0.85471,0.40155,0.0051,0.94495,0.9516,0.97745,0.78089,0.75658,0.34011,0.00641,0.0018416,0.0018416,0.0018416
10,571.611,0.8552,0.39493,0.00516,0.96053,0.95599,0.98411,0.80415,0.71333,0.30752,0.00599,0.0018218,0.0018218,0.0018218
11,628.495,0.82775,0.37166,0.00506,0.95953,0.96403,0.98339,0.79747,0.72754,0.29671,0.00614,0.001802,0.001802,0.001802
12,685.552,0.82051,0.37593,0.00482,0.95195,0.96361,0.98174,0.78613,0.75196,0.31608,0.00638,0.0017822,0.0017822,0.0017822
13,742.363,0.84172,0.38018,0.00512,0.96273,0.96205,0.98306,0.79329,0.75434,0.2947,0.00628,0.0017624,0.0017624,0.0017624
14,799.324,0.83715,0.37377,0.00511,0.94482,0.96741,0.98177,0.8088,0.6953,0.30062,0.00578,0.0017426,0.0017426,0.0017426
15,856.254,0.80894,0.36593,0.0048,0.9626,0.9694,0.98554,0.81108,0.6898,0.27761,0.00575,0.0017228,0.0017228,0.0017228
16,913.192,0.79784,0.3545,0.00476,0.96203,0.97165,0.98512,0.80294,0.71131,0.27801,0.00594,0.001703,0.001703,0.001703
17,970.047,0.79743,0.36533,0.00473,0.95797,0.97421,0.98481,0.80627,0.69742,0.2717,0.00581,0.0016832,0.0016832,0.0016832
18,1026.82,0.80768,0.35878,0.00485,0.96234,0.97419,0.9805,0.80312,0.70288,0.28199,0.0059,0.0016634,0.0016634,0.0016634
19,1083.91,0.80841,0.35424,0.00483,0.96223,0.95937,0.98271,0.80658,0.69635,0.28713,0.00579,0.0016436,0.0016436,0.0016436
20,1140.75,0.77935,0.34766,0.00469,0.95723,0.96953,0.98405,0.80441,0.6956,0.28756,0.00577,0.0016238,0.0016238,0.0016238
21,1197.49,0.77071,0.34504,0.00457,0.96155,0.97371,0.98561,0.81477,0.67953,0.27175,0.00565,0.001604,0.001604,0.001604
22,1254.86,0.78942,0.34587,0.00473,0.95356,0.96458,0.98421,0.80854,0.69138,0.30171,0.00577,0.0015842,0.0015842,0.0015842
23,1311.94,0.76829,0.35245,0.00458,0.96497,0.97376,0.98497,0.81427,0.68099,0.26346,0.00561,0.0015644,0.0015644,0.0015644
24,1368.94,0.7766,0.34791,0.00461,0.96057,0.96915,0.9847,0.80406,0.71514,0.28758,0.00592,0.0015446,0.0015446,0.0015446
25,1425.95,0.76469,0.34587,0.00454,0.96312,0.97255,0.98749,0.81764,0.66948,0.27246,0.00551,0.0015248,0.0015248,0.0015248
26,1483.32,0.76073,0.33808,0.00451,0.95404,0.9751,0.98475,0.81015,0.67969,0.2863,0.00557,0.001505,0.001505,0.001505
27,1540.31,0.76284,0.34797,0.0046,0.96115,0.96911,0.98655,0.80865,0.70383,0.28241,0.0059,0.0014852,0.0014852,0.0014852
28,1597.48,0.76015,0.33346,0.00446,0.96345,0.9817,0.9884,0.81919,0.67554,0.25164,0.00555,0.0014654,0.0014654,0.0014654
29,1654.86,0.74837,0.32029,0.00443,0.96957,0.97672,0.9879,0.814,0.69172,0.26693,0.00574,0.0014456,0.0014456,0.0014456
30,1711.88,0.7547,0.32717,0.00449,0.96417,0.97334,0.98745,0.81439,0.68274,0.26498,0.00566,0.0014258,0.0014258,0.0014258
31,1768.82,0.73781,0.32293,0.00435,0.95929,0.97725,0.98621,0.81198,0.67745,0.26133,0.00558,0.001406,0.001406,0.001406
32,1825.98,0.73738,0.32641,0.00434,0.96176,0.96849,0.98396,0.81091,0.70032,0.28647,0.00584,0.0013862,0.0013862,0.0013862
33,1883.02,0.75619,0.33452,0.00454,0.96814,0.97721,0.9892,0.81674,0.67814,0.26508,0.00568,0.0013664,0.0013664,0.0013664
34,1939.94,0.75654,0.31772,0.00454,0.97263,0.97761,0.98866,0.81831,0.6731,0.25762,0.00552,0.0013466,0.0013466,0.0013466
35,1996.88,0.72686,0.30199,0.00428,0.97195,0.97588,0.98796,0.82532,0.65329,0.24845,0.00537,0.0013268,0.0013268,0.0013268
36,2053.95,0.74201,0.31799,0.00441,0.96254,0.9786,0.98812,0.81857,0.67056,0.2641,0.00552,0.001307,0.001307,0.001307
37,2110.88,0.71884,0.30591,0.00419,0.97068,0.98073,0.98742,0.81634,0.68117,0.25095,0.00561,0.0012872,0.0012872,0.0012872
38,2167.87,0.7166,0.30713,0.00424,0.96595,0.98456,0.98844,0.82375,0.65749,0.24332,0.00539,0.0012674,0.0012674,0.0012674
39,2224.77,0.72524,0.3113,0.0042,0.96944,0.98096,0.98897,0.82573,0.6575,0.25339,0.00539,0.0012476,0.0012476,0.0012476
40,2281.66,0.73095,0.31519,0.00433,0.96383,0.98102,0.98923,0.8219,0.67236,0.24999,0.00557,0.0012278,0.0012278,0.0012278
41,2338.48,0.71188,0.29178,0.00427,0.97101,0.97789,0.98898,0.81387,0.69521,0.25969,0.00578,0.001208,0.001208,0.001208
42,2395.29,0.72347,0.30094,0.00427,0.96979,0.97503,0.98747,0.81726,0.67762,0.25602,0.0056,0.0011882,0.0011882,0.0011882
43,2452.18,0.73121,0.29246,0.00433,0.97158,0.97884,0.98869,0.8262,0.65534,0.2421,0.0054,0.0011684,0.0011684,0.0011684
44,2509.23,0.71101,0.29254,0.00408,0.97146,0.97964,0.98996,0.83066,0.64791,0.25065,0.00529,0.0011486,0.0011486,0.0011486
45,2566.58,0.71024,0.30233,0.00419,0.96127,0.97926,0.98687,0.8188,0.66997,0.25894,0.00557,0.0011288,0.0011288,0.0011288
46,2623.31,0.70506,0.30136,0.0042,0.97265,0.97839,0.99004,0.82894,0.65263,0.24411,0.00536,0.001109,0.001109,0.001109
47,2680.19,0.69818,0.29094,0.0041,0.96443,0.9753,0.98925,0.82747,0.65676,0.25041,0.00544,0.0010892,0.0010892,0.0010892
48,2737.32,0.70651,0.29333,0.00407,0.965,0.98024,0.98949,0.82726,0.65836,0.25166,0.00539,0.0010694,0.0010694,0.0010694
49,2794.43,0.7061,0.29964,0.00417,0.96957,0.98138,0.98897,0.82721,0.6468,0.25196,0.00528,0.0010496,0.0010496,0.0010496
50,2851.38,0.689,0.28172,0.0041,0.96784,0.9806,0.98759,0.82871,0.64004,0.24824,0.00521,0.0010298,0.0010298,0.0010298
51,2908.52,0.70287,0.29197,0.00409,0.96998,0.97842,0.98952,0.83086,0.64339,0.249,0.00526,0.00101,0.00101,0.00101
52,2965.6,0.70088,0.28727,0.00411,0.96913,0.97969,0.98817,0.8261,0.65308,0.25117,0.00534,0.0009902,0.0009902,0.0009902
53,3022.48,0.70409,0.29128,0.00411,0.96769,0.98392,0.98832,0.8305,0.64269,0.24077,0.00522,0.0009704,0.0009704,0.0009704
54,3079.38,0.6903,0.28225,0.00401,0.96233,0.9873,0.98928,0.83291,0.64375,0.24379,0.00528,0.0009506,0.0009506,0.0009506
55,3136.34,0.69546,0.28075,0.00411,0.97174,0.97842,0.98954,0.8308,0.64488,0.24468,0.00529,0.0009308,0.0009308,0.0009308
56,3193.26,0.67066,0.27294,0.00388,0.9692,0.98551,0.98945,0.82844,0.64249,0.24027,0.00526,0.000911,0.000911,0.000911
57,3250.31,0.67348,0.26824,0.0039,0.97267,0.97912,0.98946,0.82746,0.65053,0.24347,0.00532,0.0008912,0.0008912,0.0008912
58,3307.63,0.67694,0.27094,0.00388,0.96897,0.97799,0.99005,0.82778,0.64747,0.24773,0.00527,0.0008714,0.0008714,0.0008714
59,3364.58,0.66545,0.27391,0.00389,0.96899,0.9784,0.98985,0.82943,0.64528,0.2461,0.00527,0.0008516,0.0008516,0.0008516
60,3421.56,0.67328,0.26865,0.00387,0.97144,0.98138,0.99042,0.82871,0.64934,0.251,0.00532,0.0008318,0.0008318,0.0008318
61,3478.36,0.67043,0.26652,0.00391,0.97255,0.97455,0.98963,0.826,0.65386,0.25121,0.00531,0.000812,0.000812,0.000812
62,3535.22,0.66647,0.26787,0.00391,0.97615,0.97757,0.98925,0.83136,0.63892,0.24239,0.00519,0.0007922,0.0007922,0.0007922
63,3592.09,0.66146,0.26171,0.00379,0.96808,0.98603,0.98953,0.82983,0.64281,0.24553,0.00526,0.0007724,0.0007724,0.0007724
64,3649.22,0.65533,0.26412,0.00383,0.96955,0.98364,0.99036,0.83387,0.6301,0.23795,0.00512,0.0007526,0.0007526,0.0007526
65,3706.34,0.65028,0.2599,0.0038,0.97259,0.98138,0.99024,0.83241,0.63961,0.24096,0.00517,0.0007328,0.0007328,0.0007328
66,3763.22,0.65994,0.27548,0.0038,0.97069,0.98101,0.98952,0.83136,0.64371,0.2407,0.00522,0.000713,0.000713,0.000713
67,3820.4,0.65656,0.25971,0.00382,0.97157,0.98343,0.98913,0.83311,0.6407,0.24005,0.0052,0.0006932,0.0006932,0.0006932
68,3877.29,0.65624,0.26851,0.0039,0.97552,0.97793,0.98978,0.83068,0.63808,0.24156,0.00517,0.0006734,0.0006734,0.0006734
69,3934.71,0.64661,0.25815,0.00375,0.97231,0.98063,0.99046,0.82533,0.6531,0.24665,0.00532,0.0006536,0.0006536,0.0006536
70,56.1595,0.64129,0.2598,0.00371,0.97672,0.97653,0.98922,0.82665,0.6549,0.25224,0.00533,0.0006338,0.0006338,0.0006338
71,113.075,0.63776,0.25712,0.00374,0.96834,0.98382,0.9901,0.83356,0.64043,0.23969,0.0052,0.000614,0.000614,0.000614
72,169.962,0.63549,0.25163,0.00367,0.97255,0.97672,0.99022,0.8308,0.6364,0.24728,0.00514,0.0005942,0.0005942,0.0005942
73,227.216,0.63141,0.25093,0.00369,0.97187,0.98434,0.99017,0.83252,0.63695,0.24069,0.00516,0.0005744,0.0005744,0.0005744
74,284.172,0.64699,0.25606,0.00373,0.96874,0.98358,0.98932,0.8263,0.65334,0.23964,0.00529,0.0005546,0.0005546,0.0005546
75,341.156,0.63333,0.24533,0.00364,0.96963,0.9835,0.99027,0.83414,0.63555,0.23405,0.00516,0.0005348,0.0005348,0.0005348
76,398.248,0.62413,0.2483,0.00368,0.96675,0.98429,0.98999,0.83042,0.63931,0.2433,0.00516,0.000515,0.000515,0.000515
77,455.338,0.62549,0.24357,0.00365,0.97428,0.97793,0.99057,0.82808,0.64915,0.24532,0.00531,0.0004952,0.0004952,0.0004952
78,512.306,0.62833,0.24515,0.0036,0.97189,0.98045,0.9903,0.83244,0.63336,0.24567,0.00514,0.0004754,0.0004754,0.0004754
79,569.377,0.61809,0.23294,0.00356,0.97435,0.97715,0.99027,0.83402,0.63915,0.24693,0.00517,0.0004556,0.0004556,0.0004556
80,626.882,0.61524,0.2361,0.00359,0.97067,0.98038,0.98838,0.82551,0.64922,0.24911,0.00527,0.0004358,0.0004358,0.0004358
81,684.006,0.61935,0.23437,0.00352,0.97178,0.98223,0.98973,0.8307,0.64042,0.24512,0.00517,0.000416,0.000416,0.000416
